input	output	probability	Stress.R	Stress.L	No.Cluster	pkat	pikat	tkat	tikat
paper	pikat	0	0	0	0	1	0	0	0
paper	pkat	0	0	0	0	0	1	0	0
paper	paper	0	0	0	0	1	1	0	0
table	tikat	0	0	0	0	0	0	1	0
table	tkat	0	0	0	0	0	0	0	1
table	table	0	0	0	0	0	0	1	1
pikat	PIkat	0	1	0	0	0	0	0	0
pikat	piKAT	0	0	1	0	0	0	0	0
pikat	pikat	0	1	1	0	0	0	0	0
pkat	pKAT	0	0	0	1	0	0	0	0
pkat	pikat	0	1	1	0	0	0	0	0
pkat	pkat	0	1	1	1	0	0	0	0
pKAT	piKAT	0	0	1	0	0	0	0	0
pKAT	pKAT	0	0	0	1	0	0	0	0
tikat	TIkat	0	1	0	0	0	0	0	0
tikat	tiKAT	0	0	1	0	0	0	0	0
tikat	tikat	0	1	1	0	0	0	0	0
tkat	tKAT	0	0	0	1	0	0	0	0
tkat	tikat	0	1	1	0	0	0	0	0
tkat	tkat	0	1	1	1	0	0	0	0
tKAT	tiKAT	0	0	1	0	0	0	0	0
tKAT	tKAT	0	0	0	1	0	0	0	0
piKAT	piKAT	0	0	0	0	0	0	0	0
tiKAT	tiKAT	0	0	0	0	0	0	0	0
TIkat	TIkat	0	0	0	0	0	0	0	0
PIkat	PIkat	0	0	0	0	0	0	0	0
